UF,Município,Agropecuária_2019,Agropecuária_2020,Agropecuária_VrAbs,Agropecuária_Vr,Indústria_2019,Indústria_2020,Indústria_VrAbs,Indústria_Vr,Construção_2019,Construção_2020,Construção_VrAbs,Construção_Vr,Comércio_2019,Comércio_2020,Comércio_VrAbs,Comércio_Vr,Serviços_2019,Serviços_2020,Serviços_VrAbs,Serviços_Vr,Total_2019,Total_2020,Total_VrAbs,Total_Vr,Municipio_mapa,Latitude,Longitude,Ufs_indice,index_original
MG,NOVA MODICA,101,101,0,0.0,8,7,-1,-12.5,3,5,2,66.67,42,53,11,26.19,202,206,4,1.98,356,372,16,4.49,NOVA MODICA MG,-18.4389859,-41.4973651,10,2764
MG,NOVA PONTE,880,1184,304,34.55,510,578,68,13.33,44,32,-12,-27.27,393,384,-9,-2.29,1317,1175,-142,-10.78,3144,3353,209,6.65,NOVA PONTE MG,-19.1692213,-47.6717642,10,2765
MG,NOVA RESENDE,161,152,-9,-5.59,172,144,-28,-16.28,44,39,-5,-11.36,582,643,61,10.48,693,707,14,2.02,1652,1685,33,2.0,NOVA RESENDE MG,-21.1263862,-46.424537,10,2767
MG,NOVA SERRANA,215,244,29,13.49,16521,12750,-3771,-22.83,283,309,26,9.19,3810,3626,-184,-4.83,5617,5787,170,3.03,26446,22716,-3730,-14.1,NOVA SERRANA MG,-19.875834,-44.984166,10,2768
MG,NOVO CRUZEIRO,100,100,0,0.0,107,128,21,19.63,53,45,-8,-15.09,415,416,1,0.24,1137,937,-200,-17.59,1812,1626,-186,-10.26,NOVO CRUZEIRO MG,-19.4730937,-42.537897,10,2769
MG,NOVO ORIENTE DE MINAS,49,49,0,0.0,52,27,-25,-48.08,0,0,0,0.0,109,92,-17,-15.6,413,313,-100,-24.21,623,481,-142,-22.79,NOVO ORIENTE DE MINAS MG,-17.4153913,-41.2190225,10,2770
MG,NOVORIZONTE,2,3,1,50.0,31,40,9,29.03,9,9,0,0.0,30,36,6,20.0,210,177,-33,-15.71,282,265,-17,-6.03,NOVORIZONTE MG,-16.0178,-42.4072,10,2771
MG,OLARIA,26,26,0,0.0,0,0,0,0.0,17,19,2,11.76,25,24,-1,-4.0,225,263,38,16.89,293,332,39,13.31,OLARIA MG,-21.8607194,-43.9370942,10,2772
MG,OLIMPIO NORONHA,109,108,-1,-0.92,46,30,-16,-34.78,1,0,-1,-100.0,33,35,2,6.06,196,177,-19,-9.69,385,350,-35,-9.09,OLIMPIO NORONHA MG,-22.067778,-45.263889,10,2774
MG,OLIVEIRA,1401,1479,78,5.57,1993,2353,360,18.06,430,463,33,7.67,1944,1880,-64,-3.29,3422,3311,-111,-3.24,9190,9486,296,3.22,OLIVEIRA MG,-20.6971953,-44.8273969,10,2775
MG,OLIVEIRA FORTES,42,46,4,9.52,14,15,1,7.14,0,0,0,0.0,25,23,-2,-8.0,179,148,-31,-17.32,260,232,-28,-10.77,OLIVEIRA FORTES MG,-21.3391156,-43.4577139,10,2776
MG,ONCA DE PITANGUI,166,214,48,28.92,10,10,0,0.0,0,0,0,0.0,8,8,0,0.0,207,179,-28,-13.53,391,411,20,5.12,ONCA DE PITANGUI MG,-19.73,-44.807222,10,2777
MG,ORIZANIA,3,4,1,33.33,14,5,-9,-64.29,0,4,4,0.0,57,70,13,22.81,390,288,-102,-26.15,464,371,-93,-20.04,ORIZANIA MG,-20.5057698,-42.2087072,10,2779
MG,OURO FINO,454,421,-33,-7.27,1772,1711,-61,-3.44,50,63,13,26.0,1581,1709,128,8.1,2094,1904,-190,-9.07,5951,5808,-143,-2.4,OURO FINO MG,-22.283056,-46.369167,10,2781
MG,OURO PRETO,163,156,-7,-4.29,4410,4954,544,12.34,732,1176,444,60.66,2666,2490,-176,-6.6,9408,8594,-814,-8.65,17379,17370,-9,-0.05,OURO PRETO MG,-20.385527,-43.5035214,10,2782
MG,OURO VERDE DE MINAS,31,29,-2,-6.45,0,0,0,0.0,3,8,5,166.67,63,56,-7,-11.11,222,203,-19,-8.56,319,296,-23,-7.21,OURO VERDE DE MINAS MG,-18.0687218,-41.2710619,10,2783
MG,PADRE CARVALHO,2,82,80,4000.0,25,22,-3,-12.0,4,3,-1,-25.0,54,56,2,3.7,310,305,-5,-1.61,395,468,73,18.48,PADRE CARVALHO MG,-16.3647,-42.515,10,2784
