index,Municipio,IDHM_2010,IDHM_Renda_2010,IDHM_Longevidade_2010,IDHM_Educação_2010,nome_municipio,UF,Municipio_mapa,nome_unico,Pop_2018,Area,pop_por_area
3500,Bacabeira (MA),629,558,768,580,Bacabeira,MA,BACABEIRA MA,Bacabeira MA,16855,542.962,31.042688070251693
4691,Bacuri (MA),578,540,737,484,Bacuri,MA,BACURI MA,Bacuri MA,18508,881.431,20.99767310203521
5348,Bacurituba (MA),537,474,681,479,Bacurituba,MA,BACURITUBA MA,Bacurituba MA,5617,412.639,13.612382736483948
5557,Bagre (PA),471,481,777,280,Bagre,PA,BAGRE PA,Bagre PA,30009,4397.321,6.824382391005797
786,Bagé (RS),740,739,848,647,Bagé,RS,BAGE RS,Bagé RS,142034,7397.935,19.19914138202079
4422,Baianópolis (BA),589,543,763,492,Baianópolis,BA,BAIANOPOLIS BA,Baianópolis BA,13824,3320.723,4.162948851801249
4675,Baião (PA),578,538,770,467,Baião,PA,BAIAO PA,Baiao PA,46416,3759.834,12.345225879653198
4517,Baixa Grande (BA),585,549,775,471,Baixa Grande,BA,BAIXA GRANDE BA,Baixa Grande BA,20488,967.514,21.175920968585466
4980,Baixa Grande do Ribeiro (PI),564,537,751,446,Baixa Grande do Ribeiro,PI,BAIXA GRANDE DO RIBEIRO PI,Baixa Grande do Ribeiro PI,11497,7808.924,1.4722899083151533
3550,Baixio (CE),627,563,763,575,Baixio,CE,BAIXIO CE,Baixio CE,6272,146.433,42.8318753286486
1847,Baixo Guandu (ES),702,670,811,637,Baixo Guandu,ES,BAIXO GUANDU ES,Baixo Guandu ES,30862,909.039,33.95013855291137
2659,Baldim (MG),671,650,787,590,Baldim,MG,BALDIM MG,Baldim MG,7851,556.266,14.113751334793069
1442,Balneário Barra do Sul (SC),716,713,844,611,Balneário Barra do Sul,SC,BALNEARIO BARRA DO SUL SC,Balneário Barra do Sul SC,10550,111.037,95.0133739204049
2269,Balsas (MA),687,674,807,597,Balsas,MA,BALSAS MA,Balsas MA,93826,13141.757,7.139532408033416
745,Bambuí (MG),741,735,870,636,Bambuí,MG,BAMBUI MG,Bambuí MG,23757,1455.819,16.318649502445016
4000,Banabuiú (CE),606,540,779,530,Banabuiú,CE,BANABUIU CE,Banabuiú CE,18151,1080.329,16.801363288405664
959,Bananal (SP),733,693,872,653,Bananal,SP,BANANAL SP,Bananal SP,10896,616.429,17.67600161575786
4191,Bandeira (MG),599,583,811,454,Bandeira,MG,BANDEIRA MG,Bandeira MG,4825,483.789,9.97335615319902
2144,Bandeira do Sul (MG),692,681,802,608,Bandeira do Sul,MG,BANDEIRA DO SUL MG,Bandeira do Sul MG,5713,47.266,120.86912368298566
2623,Bandeirante (SC),672,675,795,565,Bandeirante,SC,BANDEIRANTE SC,Bandeirante SC,2708,147.993,18.298162750940925
2431,Bandeirantes (MS),681,694,848,537,Bandeirantes,MS,BANDEIRANTES MS,Bandeirantes MS,6829,3115.684,2.191814060732731
1124,Bandeirantes (PR),727,714,819,658,Bandeirantes,PR,BANDEIRANTES PR,Bandeirantes PR,31526,445.192,70.81439019569085
3332,Bandeirantes do Tocantins (TO),638,570,797,571,Bandeirantes do Tocantins,TO,BANDEIRANTES DO TOCANTINS TO,Bandeirantes do Tocantins TO,3512,1541.846,2.277789091777
