index,Municipio,IDHM_2010,IDHM_Renda_2010,IDHM_Longevidade_2010,IDHM_Educação_2010,nome_municipio,UF,Municipio_mapa,nome_unico,Pop_2018,Area,pop_por_area
3780,Barreira (CE),616,551,771,551,Barreira,CE,BARREIRA CE,Barreira CE,22362,245.805,90.97455299932874
1291,Barreiras (BA),721,695,807,668,Barreiras,BA,BARREIRAS BA,Barreiras BA,153831,7859.716,19.57208123041596
5108,Barreiras do Piauí (PI),557,560,730,423,Barreiras do Piauí,PI,BARREIRAS DO PIAUI PI,Barreiras do Piauí PI,3344,2028.303,1.6486688625910428
4784,Barreirinha (AM),574,469,774,522,Barreirinha,AM,BARREIRINHA AM,Barreirinha AM,31593,5751.765,5.492748747558358
4848,Barreirinhas (MA),570,515,752,479,Barreirinhas,MA,BARREIRINHAS MA,Barreirinhas MA,61828,3047.05,20.291101229057613
4510,Barreiros (PE),586,561,730,491,Barreiros,PE,BARREIROS PE,Barreiros PE,42552,233.433,182.28785133207387
72,Barretos (SP),789,762,875,738,Barretos,SP,BARRETOS SP,Barretos SP,121344,1566.161,77.47862448368973
1182,Barrinha (SP),725,711,829,646,Barrinha,SP,BARRINHA SP,Barrinha SP,32434,146.025,222.1126519431604
3983,Barro Alto (BA),607,551,739,550,Barro Alto,BA,BARRO ALTO BA,Barro Alto BA,14802,414.51,35.7096330607223
4187,Barro (CE),599,556,758,510,Barro,CE,BARRO CE,Barro CE,22593,711.887,31.73677844938874
3881,Barro Duro (PI),612,611,729,514,Barro Duro,PI,BARRO DURO PI,Barro Duro PI,7038,159.429,44.14504262085317
4119,Barro Preto (BA),602,576,744,508,Barro Preto,BA,BARRO PRETO BA,Barro Preto BA,5743,201.585,28.48922290845053
3919,Barrocas (BA),610,574,786,503,Barrocas,BA,BARROCAS BA,Barrocas BA,15846,207.297,76.4410483509168
3268,Barrolândia (TO),642,600,817,541,Barrolândia,TO,BARROLANDIA TO,Barrolândia TO,5614,713.3,7.8704612365063795
4833,Barroquinha (CE),571,512,720,505,Barroquinha,CE,BARROQUINHA CE,Barroquinha CE,14989,384.9,38.94258248895817
3129,Barros Cassal (RS),650,690,795,500,Barros Cassal,RS,BARROS CASSAL RS,Barros Cassal RS,11216,648.896,17.284742085018248
932,Barroso (MG),734,675,864,678,Barroso,MG,BARROSO MG,Barroso MG,20720,82.07,252.46740587303523
545,Bastos (SP),751,696,848,718,Bastos,SP,BASTOS SP,Bastos SP,20954,170.912,122.6011046620483
1594,Bataguassu (MS),710,698,847,606,Bataguassu,MS,BATAGUASSU MS,Bataguassu MS,22717,2417.599,9.396512821191603
4285,Batalha (AL),594,563,752,496,Batalha,AL,BATALHA AL,Batalha AL,18455,319.036,57.84613648616457
5274,Batalha (PI),545,540,755,398,Batalha,PI,BATALHA PI,Batalha PI,26806,1589.01,16.869623224523444
360,Batatais (SP),761,766,840,685,Batatais,SP,BATATAIS SP,Batatais SP,62024,849.526,73.01012564653702
2334,Batayporã (MS),684,702,814,559,Batayporã,MS,BATAYPORA MS,Bataypora MS,11305,1828.024,6.184273291816738
3727,Baturité (CE),619,574,753,548,Baturité,CE,BATURITE CE,Baturité CE,35575,308.581,115.28577585787848
36,Bauru (SP),801,800,854,752,Bauru,SP,BAURU SP,Bauru SP,387775,1070.093,362.3750459072249
3934,Baía Formosa (RN),609,590,718,534,Baía Formosa,RN,BAIA FORMOSA RN,Baía Formosa RN,9218,247.484,37.246852321766255
4613,Baía da Traição (PB),581,541,731,495,Baía da Traição,PB,BAIA DA TRAICAO PB,Baía da Traiçao PB,8933,102.64,87.0323460639127
127,Bebedouro (SP),780,756,853,735,Bebedouro,SP,BEBEDOURO SP,Bebedouro SP,77436,683.192,113.34441855291044
3348,Beberibe (CE),638,585,778,571,Beberibe,CE,BEBERIBE CE,Beberibe CE,53421,1620.344,32.96892511713562
3632,Bela Cruz (CE),623,533,760,598,Bela Cruz,CE,BELA CRUZ CE,Bela Cruz CE,32593,843.021,38.662144833877214
1969,Bela Vista (MS),698,699,830,585,Bela Vista,MS,BELA VISTA MS,Bela Vista MS,24508,4892.603,5.0091944921752285
2428,Bela Vista da Caroba (PR),681,667,828,572,Bela Vista da Caroba,PR,BELA VISTA DA CAROBA PR,Bela Vista da Caroba PR,3567,148.107,24.083939314144505
1427,Bela Vista de Goiás (GO),716,721,837,607,Bela Vista de Goiás,GO,BELA VISTA DE GOIAS GO,Bela Vista de Goiás GO,29448,1275.849,23.081101290199705
5146,Bela Vista do Maranhão (MA),554,515,735,450,Bela Vista do Maranhão,MA,BELA VISTA DO MARANHAO MA,Bela Vista do Maranhao MA,11138,147.954,75.2801546426592
1434,Bela Vista do Paraíso (PR),716,721,844,604,Bela Vista do Paraíso,PR,BELA VISTA DO PARAISO PR,Bela Vista do Paraíso PR,15395,242.689,63.43509594584015
4735,Bela Vista do Piauí (PI),576,520,709,519,Bela Vista do Piauí,PI,BELA VISTA DO PIAUI PI,Bela Vista do Piauí PI,3999,499.092,8.012550792238706
2555,Bela Vista do Toldo (SC),675,624,826,598,Bela Vista do Toldo,SC,BELA VISTA DO TOLDO SC,Bela Vista do Toldo SC,6311,533.419,11.831224609547093
2921,Belmiro Braga (MG),660,653,830,531,Belmiro Braga,MG,BELMIRO BRAGA MG,Belmiro Braga MG,3433,393.086,8.733457818390885
4206,Belmonte (BA),598,577,771,480,Belmonte,BA,BELMONTE BA,Belmonte BA,23214,1939.447,11.969391274935589
1769,Belmonte (SC),705,699,820,611,Belmonte,SC,BELMONTE SC,Belmonte SC,2703,93.852,28.80066487661424
4744,Belo Campo (BA),575,562,760,444,Belo Campo,BA,BELO CAMPO BA,Belo Campo BA,17317,772.757,22.409373192348955
19,Belo Horizonte (MG),810,841,856,737,Belo Horizonte,MG,BELO HORIZONTE MG,Belo Horizonte MG,5160564,5519.435,934.9804826037448
3503,Belo Jardim (PE),629,617,783,514,Belo Jardim,PE,BELO JARDIM PE,Belo Jardim PE,76185,647.697,117.62444476352368
5473,Belo Monte (AL),517,507,725,376,Belo Monte,AL,BELO MONTE AL,Belo Monte AL,6696,335.047,19.985255799932546
3024,Belo Vale (MG),655,672,814,514,Belo Vale,MG,BELO VALE MG,Belo Vale MG,7710,365.923,21.070006531428746
4451,Belterra (PA),588,548,775,478,Belterra,PA,BELTERRA PA,Belterra PA,17624,4398.418,4.006895206412851
5496,Belágua (MA),512,417,707,455,Belágua,MA,BELAGUA MA,Belágua MA,7409,569.428,13.011302570298616
4312,Belém (AL),593,587,764,464,Belém,AL,BELEM AL,Belém AL,4406,66.655,66.10156777436052
641,Belém (PA),746,751,822,673,Belém,PA,BELEM PA,Belém PA,2202308,1541.078,1429.0697810234135
4358,Belém (PB),592,557,759,492,Belém,PB,BELEM PB,Belém PB,17640,100.153,176.13052030393496
4670,Belém de Maria (PE),578,537,749,479,Belém de Maria,PE,BELEM DE MARIA PE,Belém de Maria PE,12023,75.142,160.00372627824652
4678,Belém do Brejo do Cruz (PB),578,550,779,451,Belém do Brejo do Cruz,PB,BELEM DO BREJO DO CRUZ PB,Belém do Brejo do Cruz PB,7335,601.167,12.20126853270389
5190,Belém do Piauí (PI),551,537,696,448,Belém do Piauí,PI,BELEM DO PIAUI PI,Belém do Piauí PI,3544,243.531,14.552562096817242
3256,Belém do São Francisco (PE),642,611,784,553,Belém do São Francisco,PE,BELEM DO SAO FRANCISCO PE,Belém do Sao Francisco PE,20728,1830.797,11.32184507621544
5107,Beneditinos (PI),557,561,780,394,Beneditinos,PI,BENEDITINOS PI,Beneditinos PI,10462,934.843,11.191183974207432
785,Benedito Novo (SC),740,723,868,645,Benedito Novo,SC,BENEDITO NOVO SC,Benedito Novo SC,11526,387.94,29.710780017528485
4779,Benjamin Constant (AM),574,526,763,471,Benjamin Constant,AM,BENJAMIN CONSTANT AM,Benjamin Constant AM,42020,8695.392,4.832444586742035
3720,Benjamin Constant do Sul (RS),619,601,801,492,Benjamin Constant do Sul,RS,BENJAMIN CONSTANT DO SUL RS,Benjamin Constant do Sul RS,2031,132.351,15.345558401523222
4608,Bento Fernandes (RN),582,542,737,494,Bento Fernandes,RN,BENTO FERNANDES RN,Bento Fernandes RN,5469,301.069,18.16527108403721
144,Bento Gonçalves (RS),778,805,842,695,Bento Gonçalves,RS,BENTO GONCALVES RS,Bento Gonçalves RS,185706,741.683,250.3845982717684
4131,Bequimão (MA),601,510,757,561,Bequimão,MA,BEQUIMAO MA,Bequimao MA,21260,790.225,26.9037299503306
3525,Berilo (MG),628,580,816,524,Berilo,MG,BERILO MG,Berilo MG,11995,587.106,20.43072290182693
4071,Berizal (MG),604,560,757,520,Berizal,MG,BERIZAL MG,Berizal MG,4705,488.756,9.62648028873303
5085,Bernardino Batista (PB),558,526,716,462,Bernardino Batista,PB,BERNARDINO BATISTA PB,Bernardino Batista PB,3393,50.628,67.01825077032473
922,Bernardino de Campos (SP),734,713,838,662,Bernardino de Campos,SP,BERNARDINO DE CAMPOS SP,Bernardino de Campos SP,11137,244.158,45.61390574955562
3345,Bernardo Sayão (TO),638,606,748,573,Bernardo Sayão,TO,BERNARDO SAYAO TO,Bernardo Sayao TO,4469,926.888,4.821510257981546
4064,Bernardo do Mearim (MA),604,544,742,547,Bernardo do Mearim,MA,BERNARDO DO MEARIM MA,Bernardo do Mearim MA,6011,247.221,24.314277508787683
1023,Bertioga (SP),730,727,817,654,Bertioga,SP,BERTIOGA SP,Bertioga SP,61736,491.546,125.59556989579816
3875,Bertolínia (PI),612,596,758,507,Bertolínia,PI,BERTOLINIA PI,Bertolínia PI,5495,1225.335,4.484487915549625
4283,Bertópolis (MG),594,576,799,455,Bertópolis,MG,BERTOPOLIS MG,Bertópolis MG,4602,427.803,10.757287817055982
5513,Beruri (AM),506,512,731,346,Beruri,AM,BERURI AM,Beruri AM,19258,17472.785,1.1021711764896094
5069,Betânia (PE),559,533,742,441,Betânia,PE,BETANIA PE,Betânia PE,12671,1244.074,10.185085453116132
5542,Betânia do Piauí (PI),489,486,702,342,Betânia do Piauí,PI,BETANIA DO PIAUI PI,Betânia do Piauí PI,6200,580.917,10.672781137408611
4021,Bezerros (PE),606,608,752,487,Bezerros,PE,BEZERROS PE,Bezerros PE,60714,492.632,123.24412543237142
3707,Bias Fortes (MG),620,605,796,495,Bias Fortes,MG,BIAS FORTES MG,Bias Fortes MG,3430,283.535,12.097271941735588
686,Bicas (MG),744,726,850,667,Bicas,MG,BICAS MG,Bicas MG,18249,228.737,79.78158321565816
259,Bilac (SP),768,743,845,722,Bilac,SP,BILAC SP,Bilac SP,7949,158.025,50.30216737857933
2236,Biquinhas (MG),688,684,857,555,Biquinhas,MG,BIQUINHAS MG,Biquinhas MG,2532,458.948,5.516964884910709
138,Birigui (SP),780,743,869,734,Birigui,SP,BIRIGUI SP,Birigui SP,136816,1077.721,126.94936815743591
5340,Biritinga (BA),538,525,738,402,Biritinga,BA,BIRITINGA BA,Biritinga BA,15975,553.762,28.8481333135896
2739,Bituruna (PR),667,645,829,556,Bituruna,PR,BITURUNA PR,Bituruna PR,16377,1228.284,13.33323563605811
24,Blumenau (SC),806,812,894,722,Blumenau,SC,BLUMENAU SC,Blumenau SC,502853,1587.518,316.7542037318632
2474,Boa Esperança (ES),679,651,816,590,Boa Esperança,ES,BOA ESPERANCA ES,Boa Esperança ES,14982,428.716,34.94621147799476
1804,Boa Esperança (MG),704,694,855,587,Boa Esperança,MG,BOA ESPERANCA MG,Boa Esperança MG,40031,860.669,46.51149280385375
1318,Boa Esperança (PR),720,687,808,673,Boa Esperança,PR,BOA ESPERANCA PR,Boa Esperança PR,4165,302.739,13.757725301332172
1922,Boa Esperança do Iguaçu (PR),700,673,848,602,Boa Esperança do Iguaçu,PR,BOA ESPERANCA DO IGUACU PR,Boa Esperança do Iguaçu PR,2538,151.797,16.719698017747387
2427,Boa Esperança do Sul (SP),681,692,811,562,Boa Esperança do Sul,SP,BOA ESPERANCA DO SUL SP,Boa Esperança do Sul SP,14824,690.748,21.46079322705241
4760,Boa Hora (PI),575,534,772,460,Boa Hora,PI,BOA HORA PI,Boa Hora PI,6744,336.954,20.01460139959757
4907,Boa Nova (BA),567,535,753,453,Boa Nova,BA,BOA NOVA BA,Boa Nova BA,12953,849.538,15.247110782566525
4181,Boa Ventura (PB),599,566,790,480,Boa Ventura,PB,BOA VENTURA PB,Boa Ventura PB,5423,170.58,31.79153476374721
3022,Boa Ventura de São Roque (PR),655,635,802,553,Boa Ventura de São Roque,PR,BOA VENTURA DE SAO ROQUE PR,Boa Ventura de Sao Roque PR,6411,620.453,10.332772990057263
4209,Boa Viagem (CE),598,553,768,504,Boa Viagem,CE,BOA VIAGEM CE,Boa Viagem CE,54440,2836.783,19.19075234164897
3138,Boa Vista (PB),649,590,796,582,Boa Vista,PB,BOA VISTA PB,Boa Vista PB,6972,476.542,14.63039983883897
522,Boa Vista (RR),752,737,816,708,Boa Vista,RR,BOA VISTA RR,Boa Vista RR,375374,5687.037,66.00519743409441
2668,Boa Vista da Aparecida (PR),670,668,801,563,Boa Vista da Aparecida,PR,BOA VISTA DA APARECIDA PR,Boa Vista da Aparecida PR,7643,256.297,29.820871879109
2538,Boa Vista das Missões (RS),676,666,825,561,Boa Vista das Missões,RS,BOA VISTA DAS MISSOES RS,Boa Vista das Missões RS,2104,194.815,10.799989733850063
340,Boa Vista do Buricá (RS),762,761,834,697,Boa Vista do Buricá,RS,BOA VISTA DO BURICA RS,Boa Vista do Buricá RS,6712,109.557,61.26491232874211
1828,Boa Vista do Cadeado (RS),703,692,851,590,Boa Vista do Cadeado,RS,BOA VISTA DO CADEADO RS,Boa Vista do Cadeado RS,2473,701.314,3.5262378905882388
5268,Boa Vista do Gurupi (MA),545,515,681,461,Boa Vista do Gurupi,MA,BOA VISTA DO GURUPI MA,Boa Vista do Gurupi MA,9158,404.239,22.65491454312919
996,Boa Vista do Incra (RS),731,703,867,641,Boa Vista do Incra,RS,BOA VISTA DO INCRA RS,Boa Vista do Incra RS,2590,503.471,5.144288350272409
4945,Boa Vista do Ramos (AM),565,496,750,484,Boa Vista do Ramos,AM,BOA VISTA DO RAMOS AM,Boa Vista do Ramos AM,18781,2589.407,7.25301198305249
1104,Boa Vista do Sul (RS),728,770,852,587,Boa Vista do Sul,RS,BOA VISTA DO SUL RS,Boa Vista do Sul RS,2788,92.926,30.00236747519532
5189,Boa Vista do Tupim (BA),551,514,729,447,Boa Vista do Tupim,BA,BOA VISTA DO TUPIM BA,Boa Vista do Tupim BA,18622,2972.109,6.265584472171108
4065,Boca da Mata (AL),604,560,758,518,Boca da Mata,AL,BOCA DA MATA AL,Boca da Mata AL,27168,185.973,146.08572212095302
4458,Boca do Acre (AM),588,576,777,455,Boca do Acre,AM,BOCA DO ACRE AM,Boca do Acre AM,33976,21938.591,1.5486865131858285
3447,Bocaina (PI),632,614,773,532,Bocaina,PI,BOCAINA PI,Bocaina PI,4496,261.651,17.183194407818046
727,Bocaina (SP),742,741,840,656,Bocaina,SP,BOCAINA SP,Bocaina SP,12204,363.926,33.53428993806433
3207,Bocaina de Minas (MG),645,665,848,476,Bocaina de Minas,MG,BOCAINA DE MINAS MG,Bocaina de Minas MG,5091,503.77,10.105802251027256
3183,Bocaina do Sul (SC),647,642,768,549,Bocaina do Sul,SC,BOCAINA DO SUL SC,Bocaina do Sul SC,3460,511.101,6.769699139700372
1918,Bocaiúva (MG),700,648,822,644,Bocaiúva,MG,BOCAIUVA MG,Bocaiúva MG,49942,3227.627,15.47328734082346
4962,Bodocó (PE),565,543,745,445,Bodocó,PE,BODOCO PE,Bodocó PE,37909,1621.784,23.374876062410284
2771,Bodoquena (MS),666,665,776,573,Bodoquena,MS,BODOQUENA MS,Bodoquena MS,7817,2507.319,3.1176727013993832
3513,Bodó (RN),629,570,772,565,Bodó,RN,BODO RN,Bodó RN,2250,253.519,8.87507445201346
1773,Bofete (SP),705,700,821,609,Bofete,SP,BOFETE SP,Bofete SP,11534,653.541,17.648471939786486
4998,Bom Conselho (PE),563,585,704,433,Bom Conselho,PE,BOM CONSELHO PE,Bom Conselho PE,48336,792.185,61.01605054374925
555,Bom Despacho (MG),750,742,861,661,Bom Despacho,MG,BOM DESPACHO MG,Bom Despacho MG,50166,1213.546,41.33835882611784
5341,Bom Jardim (MA),538,519,750,400,Bom Jardim,MA,BOM JARDIM MA,Bom Jardim MA,41435,6590.531,6.2870503150656605
4105,Bom Jardim (PE),602,552,767,515,Bom Jardim,PE,BOM JARDIM PE,Bom Jardim PE,39132,218.433,179.1487549958111
2912,Bom Jardim (RJ),660,707,809,503,Bom Jardim,RJ,BOM JARDIM RJ,Bom Jardim RJ,27269,382.43,71.30455246711817
2030,Bom Jardim da Serra (SC),696,710,835,568,Bom Jardim da Serra,SC,BOM JARDIM DA SERRA SC,Bom Jardim da Serra SC,4712,937.12,5.028171418815093
2670,Bom Jardim de Goiás (GO),670,680,811,545,Bom Jardim de Goiás,GO,BOM JARDIM DE GOIAS GO,Bom Jardim de Goiás GO,8813,1899.506,4.639627355744072
2604,Bom Jardim de Minas (MG),673,653,822,569,Bom Jardim de Minas,MG,BOM JARDIM DE MINAS MG,Bom Jardim de Minas MG,6489,412.021,15.74919724965475
4229,Bom Jesus (PB),597,584,762,477,Bom Jesus,PB,BOM JESUS PB,Bom Jesus PB,2547,46.169,55.16688687214365
2717,Bom Jesus (PI),668,665,799,562,Bom Jesus,PI,BOM JESUS PI,Bom Jesus PI,24960,5469.182,4.563753775244635
4560,Bom Jesus (RN),584,583,743,460,Bom Jesus,RN,BOM JESUS RN,Bom Jesus RN,10152,122.035,83.18924898594666
2774,Bom Jesus (RS),666,697,832,510,Bom Jesus,RS,BOM JESUS RS,Bom Jesus RS,11391,2623.12,4.342538656256672
1391,Bom Jesus (SC),718,740,827,606,Bom Jesus,SC,BOM JESUS SC,Bom Jesus SC,2961,63.415,46.69242292832926
3437,Bom Jesus da Lapa (BA),633,615,775,533,Bom Jesus da Lapa,BA,BOM JESUS DA LAPA BA,Bom Jesus da Lapa BA,68609,4115.511,16.670833828411585
900,Bom Jesus da Penha (MG),735,696,862,662,Bom Jesus da Penha,MG,BOM JESUS DA PENHA MG,Bom Jesus da Penha MG,4190,208.349,20.110487691325613
5265,Bom Jesus da Serra (BA),546,535,749,407,Bom Jesus da Serra,BA,BOM JESUS DA SERRA BA,Bom Jesus da Serra BA,9942,467.813,21.25208149410128
5081,Bom Jesus das Selvas (MA),558,537,751,431,Bom Jesus das Selvas,MA,BOM JESUS DAS SELVAS MA,Bom Jesus das Selvas MA,33479,2679.074,12.496481993405183
1880,Bom Jesus de Goiás (GO),701,699,860,573,Bom Jesus de Goiás,GO,BOM JESUS DE GOIAS GO,Bom Jesus de Goiás GO,24776,1405.028,17.633812279897626
2369,Bom Jesus do Amparo (MG),683,655,834,582,Bom Jesus do Amparo,MG,BOM JESUS DO AMPARO MG,Bom Jesus do Amparo MG,6031,195.611,30.831599449928685
2883,Bom Jesus do Araguaia (MT),661,665,784,555,Bom Jesus do Araguaia,MT,BOM JESUS DO ARAGUAIA MT,Bom Jesus do Araguaia MT,6452,4274.218,1.5095158927317232
3649,Bom Jesus do Galho (MG),623,615,800,491,Bom Jesus do Galho,MG,BOM JESUS DO GALHO MG,Bom Jesus do Galho MG,15010,592.289,25.342358206888868
986,Bom Jesus do Itabapoana (RJ),732,723,819,662,Bom Jesus do Itabapoana,RJ,BOM JESUS DO ITABAPOANA RJ,Bom Jesus do Itabapoana RJ,46895,685.743,68.38567801639972
1548,Bom Jesus do Oeste (SC),712,725,830,601,Bom Jesus do Oeste,SC,BOM JESUS DO OESTE SC,Bom Jesus do Oeste SC,2146,67.777,31.662658423949125
2024,Bom Jesus do Sul (PR),697,640,805,656,Bom Jesus do Sul,PR,BOM JESUS DO SUL PR,Bom Jesus do Sul PR,3577,173.817,20.579114816157222
4442,Bom Jesus do Tocantins (PA),589,601,777,437,Bom Jesus do Tocantins,PA,BOM JESUS DO TOCANTINS PA,Bom Jesus do Tocantins PA,16841,2816.616,5.979160808573124
5024,Bom Lugar (MA),562,486,741,493,Bom Lugar,MA,BOM LUGAR MA,Bom Lugar MA,16148,445.476,36.2488663811294
645,Bom Princípio (RS),746,751,836,661,Bom Princípio,RS,BOM PRINCIPIO RS,Bom Princípio RS,13846,88.779,155.96030592820375
5383,Bom Princípio do Piauí (PI),532,526,770,372,Bom Princípio do Piauí,PI,BOM PRINCIPIO DO PIAUI PI,Bom Princípio do Piauí PI,5608,523.142,10.71984279602861
1238,Bom Progresso (RS),723,700,840,643,Bom Progresso,RS,BOM PROGRESSO RS,Bom Progresso RS,1987,88.741,22.39100303129332
3065,Bom Repouso (MG),653,647,821,523,Bom Repouso,MG,BOM REPOUSO MG,Bom Repouso MG,10558,229.845,45.93530422676152
1937,Bom Retiro (SC),699,704,869,559,Bom Retiro,SC,BOM RETIRO SC,Bom Retiro SC,9870,1056.036,9.34627228617206
2148,Bom Sucesso (MG),692,680,808,602,Bom Sucesso,MG,BOM SUCESSO MG,Bom Sucesso MG,17598,705.046,24.960073527117377
4357,Bom Sucesso (PB),592,558,752,494,Bom Sucesso,PB,BOM SUCESSO PB,Bom Sucesso PB,4994,184.102,27.126266960706563
2286,Bom Sucesso (PR),686,692,820,570,Bom Sucesso,PR,BOM SUCESSO PR,Bom Sucesso PR,6995,322.755,21.67278585924308
2904,Bom Sucesso de Itararé (SP),660,605,775,613,Bom Sucesso de Itararé,SP,BOM SUCESSO DE ITARARE SP,Bom Sucesso de Itararé SP,3923,133.578,29.368608603213104
735,Bom Sucesso do Sul (PR),742,704,836,695,Bom Sucesso do Sul,PR,BOM SUCESSO DO SUL PR,Bom Sucesso do Sul PR,3274,195.931,16.709964222098595
3364,Bonfim (MG),637,669,834,464,Bonfim,MG,BONFIM MG,Bonfim MG,6876,301.865,22.77839431533964
3571,Bonfim (RR),626,597,809,509,Bonfim,RR,BONFIM RR,Bonfim RR,12257,8095.421,1.5140657910193922
5304,Bonfim do Piauí (PI),542,542,707,415,Bonfim do Piauí,PI,BONFIM DO PIAUI PI,Bonfim do Piauí PI,5654,289.209,19.54987569543133
2482,Bonfinópolis de Minas (MG),678,655,796,598,Bonfinópolis de Minas,MG,BONFINOPOLIS DE MINAS MG,Bonfinópolis de Minas MG,5544,1850.487,2.9959680884005127
3865,Boninal (BA),612,564,789,514,Boninal,BA,BONINAL BA,Boninal BA,14288,896.857,15.93119081414317
5046,Bonito (BA),561,552,685,467,Bonito,BA,BONITO BA,Bonito BA,16637,791.276,21.02553344218705
2672,Bonito (MS),670,714,831,508,Bonito,MS,BONITO MS,Bonito MS,21738,4934.414,4.405386333615299
5257,Bonito (PA),546,531,770,398,Bonito,PA,BONITO PA,Bonito PA,16038,586.736,27.334269586321614
5028,Bonito (PE),561,559,754,420,Bonito,PE,BONITO PE,Bonito PE,38152,390.107,97.798809044698
5346,Bonito de Minas (MG),537,514,776,388,Bonito de Minas,MG,BONITO DE MINAS MG,Bonito de Minas MG,11088,3936.455,2.816747555859269
4783,Bonito de Santa Fé (PB),574,564,786,427,Bonito de Santa Fé,PB,BONITO DE SANTA FE PB,Bonito de Santa Fé PB,11797,228.327,51.66712653343669
3494,Bonópolis (GO),630,630,813,488,Bonópolis,GO,BONOPOLIS GO,Bonópolis GO,4316,1628.486,2.6503144638639813
3990,Boqueirão (PB),607,592,763,496,Boqueirão,PB,BOQUEIRAO PB,Boqueirao PB,17751,374.523,47.39628807843577
1910,Boqueirão do Leão (RS),700,725,843,562,Boqueirão do Leão,RS,BOQUEIRAO DO LEAO RS,Boqueirao do Leao RS,7726,265.58,29.091046012500943
5064,Boqueirão do Piauí (PI),560,555,729,434,Boqueirão do Piauí,PI,BOQUEIRAO DO PIAUI PI,Boqueirao do Piauí PI,6388,269.802,23.67662211547728
4068,Boquim (SE),604,581,771,492,Boquim,SE,BOQUIM SE,Boquim SE,26731,205.643,129.98740535782886
4087,Boquira (BA),603,564,782,497,Boquira,BA,BOQUIRA BA,Boquira BA,21520,1426.233,15.088698690887114
469,Boracéia (SP),754,723,866,685,Boracéia,SP,BORACEIA SP,Boracéia SP,4776,122.11,39.11227581688642
5052,Borba (AM),560,532,776,425,Borba,AM,BORBA AM,Borba AM,40565,44236.184,0.9170094780327344
5083,Borborema (PB),558,544,750,426,Borborema,PB,BORBOREMA PB,Borborema PB,5395,25.979,207.667731629393
1049,Borborema (SP),730,710,831,658,Borborema,SP,BORBOREMA SP,Borborema SP,15925,552.256,28.83626434117511
1024,Borda da Mata (MG),730,703,865,640,Borda da Mata,MG,BORDA DA MATA MG,Borda da Mata MG,19202,301.108,63.77113859478991
1766,Borebi (SP),705,674,846,615,Borebi,SP,BOREBI SP,Borebi SP,2621,347.989,7.531847271034429
1399,Borrazópolis (PR),717,695,838,633,Borrazópolis,PR,BORRAZOPOLIS PR,Borrazópolis PR,6749,334.378,20.18374414584692
2157,Bossoroca (RS),692,665,821,608,Bossoroca,RS,BOSSOROCA RS,Bossoroca RS,6356,1610.056,3.947688776042572
1842,Botelhos (MG),702,702,868,568,Botelhos,MG,BOTELHOS MG,Botelhos MG,14995,334.089,44.883249672991326
43,Botucatu (SP),800,790,869,746,Botucatu,SP,BOTUCATU SP,Botucatu SP,144820,1482.642,97.6769847340086
4103,Botumirim (MG),602,540,782,517,Botumirim,MG,BOTUMIRIM MG,Botumirim MG,6350,1568.884,4.04746303742023
4752,Botuporã (BA),575,543,754,464,Botuporã,BA,BOTUPORA BA,Botupora BA,10300,627.612,16.41141342103083
652,Bozano (RS),745,773,853,628,Bozano,RS,BOZANO RS,Bozano RS,2135,200.55,10.645724258289702
2589,Braga (RS),674,656,830,563,Braga,RS,BRAGA RS,Braga RS,3397,128.992,26.33496650955098
1879,Braganey (PR),701,689,797,627,Braganey,PR,BRAGANEY PR,Braganey PR,5473,343.321,15.941349349442648
4165,Bragança (PA),600,589,755,486,Bragança,PA,BRAGANCA PA,Bragança PA,126436,2098.144,60.260878185672674
169,Bragança Paulista (SP),776,772,861,704,Bragança Paulista,SP,BRAGANCA PAULISTA SP,Bragança Paulista SP,166753,512.584,325.31838684001065
5490,Branquinha (AL),513,534,699,362,Branquinha,AL,BRANQUINHA AL,Branquinha AL,10529,165.25,63.71558245083207
3851,Brasil Novo (PA),613,632,809,451,Brasil Novo,PA,BRASIL NOVO PA,Brasil Novo PA,15190,6362.575,2.387398183911388
4696,Brasileira (PI),577,572,752,446,Brasileira,PI,BRASILEIRA PI,Brasileira PI,8310,880.342,9.439513280066157
1883,Brasilândia (MS),701,721,837,570,Brasilândia,MS,BRASILANDIA MS,Brasilândia MS,11891,5807.224,2.04762206520706
2573,Brasilândia de Minas (MG),674,646,848,559,Brasilândia de Minas,MG,BRASILANDIA DE MINAS MG,Brasilândia de Minas MG,16321,2509.694,6.503183256604192
2415,Brasilândia do Sul (PR),681,680,813,572,Brasilândia do Sul,PR,BRASILANDIA DO SUL PR,Brasilândia do Sul PR,2719,291.036,9.342486840116
2338,Brasilândia do Tocantins (TO),684,640,831,601,Brasilândia do Tocantins,TO,BRASILANDIA DO TOCANTINS TO,Brasilândia do Tocantins TO,2191,641.467,3.415608285383348
2041,Brasnorte (MT),696,695,850,571,Brasnorte,MT,BRASNORTE MT,Brasnorte MT,19248,15959.135,1.2060804047337153
8,Brasília (DF),824,863,873,742,Brasília,DF,BRASILIA DF,Brasília DF,3931072,17199.34,228.5594679795853
2999,Brasília de Minas (MG),656,612,813,568,Brasília de Minas,MG,BRASILIA DE MINAS MG,Brasília de Minas MG,32288,1399.484,23.07136058718785
154,Braço do Norte (SC),778,746,881,716,Braço do Norte,SC,BRACO DO NORTE SC,Braço do Norte SC,33016,212.296,155.51870972604289
