Municipio_mapa,UF,Latitude,Longitude,Pop_2018,Area,Pop_por_Area,Leitos_por_Mil_Hab,Dominios_Internet_por_Mil_Hab,Atração_Geral,Coef_Gestao_Empresarial,PIB,media_KMG2
ACAILANDIA MA,MA,-4.9514278,-47.4844564,111757,5806.439,19.247080697825293,1.88802491119125,2.73022366490284,69283.8962868982,298.0,1999546,0.021071034920034214
ACAJUTIBA BA,BA,-11.6609659,-38.0186381,15129,181.475,83.36685493869679,0.528785775662635,0.461771884688964,1303.00668311066,,115158,0.005614117965729083
ACARA PA,PA,-1.961388,-48.1987043,55513,4343.55,12.780559680445718,0.594455352800245,0.0539655699663615,2518.89333333333,,788416,0.006476843273360603
ACARAU CE,CE,-2.8869514,-40.1194713,62557,845.468,73.99097304688054,1.16693575459181,1.34097476093932,22264.6003774352,135.0,580727,0.012628627503153845
ACARI RN,RN,-6.4364689,-36.6394777,11152,608.466,18.32805777151065,3.58680057388809,2.69396551724138,6194.75363619827,,108583,0.03765227416457309
ACAUA PI,PI,-8.219542,-41.083059,7065,1279.586,5.5213170509836775,0.0,0.423489553924337,1422.92220671977,,42603,0.00013979162074229137
ACOPIARA CE,CE,-6.0936464,-39.4543204,53931,2265.349,23.8069277625655,1.89130555710074,0.571217984153307,11165.3179937497,79.0,371701,0.01975432420993025
ACORIZAL MT,MT,-15.2001544,-56.3668953,5424,1014.029,5.348959447905336,0.0,0.555658455269494,69.7166666666666,,70837,0.00019017295958439473
ACRELANDIA AC,AC,-10.0759167,-67.0526898,15020,1807.948,8.307761063924405,1.06524633821571,2.03198741478762,1358.15648148148,,227611,0.01162131322998214
ACREUNA GO,GO,-17.3959899,-50.3749031,22182,1565.997,14.164778093444625,3.2458750338112,3.26388267906644,2500.23727834208,68.0,614411,0.034541850951406855
ACU RN,RN,-5.5836157,-36.9139541,57644,1303.442,44.22444573674932,0.919436541530775,2.89570298360825,51318.1906598048,206.0,783644,0.010621044941228681
ACUCENA MG,MG,-19.073056,-42.546666,9575,815.422,11.742386150974587,0.0,1.05596620908131,677.589682363827,,94656,0.0003433363448383332
ADELANDIA GO,GO,-16.4155077,-50.1665834,2517,115.353,21.81997867415672,0.0,2.38473767885533,10.095,,31964,0.0006931833274717731
ADOLFO SP,SP,-21.2356597,-49.6441918,3571,211.055,16.919760252066997,0.0,5.89556428972487,335.803655683925,,86466,0.0017170578760087097
ADUSTINA BA,BA,-10.5358875,-38.114479,16784,632.139,26.551122458826303,1.13203050524309,0.704225352112676,955.551111111111,,101478,0.011872262866432698
AFOGADOS DA INGAZEIRA PE,PE,-7.7481283,-37.6346614,37111,377.696,98.25626959247649,4.87726011155722,3.97219463753724,46783.8246993537,110.0,385649,0.05139435337896848
AFONSO BEZERRA RN,RN,-5.4745,-36.57625071327935,11041,576.18,19.162414523239267,2.445430667512,0.181241504304486,329.777777777778,,84785,0.02520448670692657
AFONSO CLAUDIO ES,ES,-20.077841,-41.12606,30720,941.188,32.63960016489798,1.92057291666667,3.69450075197803,5020.24226638008,84.0,472477,0.02098939316664358
AFONSO CUNHA MA,MA,-4.1326105,-43.3230026,6469,371.338,17.420786453312076,2.31875096614624,0.153280196198651,0.0,,35459,0.02387322864088199
AFRANIO PE,PE,-8.5198919,-41.0070197,19456,1490.594,13.0525146351052,2.31291118421053,0.0509294626941686,3615.64049095607,,150340,0.02383605892787616
AFUA PA,PA,-0.1535664,-50.3879223,38863,8338.438,4.660705038521603,0.771942464554975,0.0254984955887603,9741.44469987227,,315991,0.008077959691945406
AGRESTINA PE,PE,-8.4558021,-35.9442663,24702,200.581,123.15224273485524,5.38417941867055,2.04942736588306,3613.55738263133,,220690,0.055978590796650164
AGRICOLANDIA PI,PI,-5.7967843,-42.6605131,5148,112.392,45.803971812940425,2.91375291375291,0.0,1261.82810362996,,29519,0.029937587383623242
AGROLANDIA SC,SC,-27.4120688,-49.8294621,10711,206.914,51.76546777888398,1.96060125105032,15.9241531664212,807.696147893306,,225802,0.024769714470011167
AGUA AZUL DO NORTE PA,PA,-6.8064885,-50.4849667,27241,7113.955,3.8292342304667377,1.46837487610587,0.4010207801677,3745.87293523746,,432114,0.015389696902661041
AGUA BOA MG,MG,-17.9968063,-42.3904573,13600,1320.258,10.301016922450003,1.10294117647059,0.582453585729887,2780.84323915128,,134248,0.011553672014361601
AGUA BOA MT,MT,-14.0522968,-52.1617625,25229,7510.635,3.3591034579632746,3.88441872448373,7.58135375762995,17842.2746584236,216.0,899990,0.04245761799592247
AGUA BRANCA AL,AL,-9.2613606,-37.9361053,20162,468.225,43.060494420417534,1.23995635353636,0.396118043176867,1259.49666666667,,126228,0.012904158236436737
AGUA BRANCA PB,PB,-7.5151046,-37.6394034,10161,236.608,42.94444820124425,1.96831020568842,0.488567520031268,2605.34054189714,,75121,0.020387560371818537
